gvkey,iid,datadate,tic,conm,prccd,fyrc
002403,01,04/19/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.2000,12
002403,01,04/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.4400,12
002403,01,04/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.4800,12
002403,01,04/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.5500,12
002403,01,04/25/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.9400,12
002403,01,04/26/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.7700,12
002403,01,04/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.6700,12
002403,01,04/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.0500,12
002403,01,05/01/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.3100,12
002403,01,05/02/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.9500,12
002403,01,05/03/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.0600,12
002403,01,05/04/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.1900,12
002403,01,05/05/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.1500,12
002403,01,05/08/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.9400,12
002403,01,05/09/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.3200,12
002403,01,05/10/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.1400,12
002403,01,05/11/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.1400,12
002403,01,05/12/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.0300,12
002403,01,05/15/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.1000,12
002403,01,05/16/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.3900,12
002403,01,05/17/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.4100,12
002403,01,05/18/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.7800,12
002403,01,05/19/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.0200,12
002403,01,05/22/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.1000,12
002403,01,05/23/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.2100,12
002403,01,05/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.8200,12
002403,01,05/25/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.3900,12
002403,01,05/26/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.9700,12
002403,01,05/30/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.9300,12
002403,01,05/31/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.9500,12
002403,01,06/01/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.5300,12
002403,01,06/02/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.9700,12
002403,01,06/05/2017,BMY,BRISTOL-MYERS SQUIBB CO,52.3600,12
002403,01,06/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,51.6600,12
002403,01,06/07/2017,BMY,BRISTOL-MYERS SQUIBB CO,52.5700,12
002403,01,06/08/2017,BMY,BRISTOL-MYERS SQUIBB CO,52.8500,12
002403,01,06/09/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.7500,12
002403,01,06/12/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.3600,12
002403,01,06/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.1900,12
002403,01,06/14/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.5200,12
002403,01,06/15/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.2800,12
002403,01,06/16/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.4600,12
002403,01,06/19/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.2200,12
002403,01,06/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.6600,12
002403,01,06/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.0700,12
002403,01,06/22/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.3300,12
002403,01,06/23/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.6400,12
002403,01,06/26/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.9200,12
002403,01,06/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.9000,12
002403,01,06/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.8700,12
002403,01,06/29/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.8200,12
002403,01,06/30/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.7200,12
002403,01,07/03/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.2700,12
002403,01,07/05/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.3500,12
002403,01,07/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.2800,12
002403,01,07/07/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.9100,12
002403,01,07/10/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.9300,12
002403,01,07/11/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.3300,12
002403,01,07/12/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.0400,12
002403,01,07/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.6700,12
002403,01,07/14/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.1500,12
002403,01,07/17/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.7900,12
002403,01,07/18/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.7400,12
002403,01,07/19/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.0700,12
002403,01,07/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.4400,12
002403,01,07/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.6500,12
002403,01,07/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.6000,12
002403,01,07/25/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.9500,12
002403,01,07/26/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.9800,12
002403,01,07/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.2400,12
002403,01,07/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.2700,12
002403,01,07/31/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.9000,12
002403,01,08/01/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.1100,12
002403,01,08/02/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.2300,12
002403,01,08/03/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.5000,12
002403,01,08/04/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.9500,12
002403,01,08/07/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.3000,12
002403,01,08/08/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.9100,12
002403,01,08/09/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.4000,12
002403,01,08/10/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.5900,12
002403,01,08/11/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.7300,12
002403,01,08/14/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.6200,12
002403,01,08/15/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.8700,12
002403,01,08/16/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.5000,12
002403,01,08/17/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.7700,12
002403,01,08/18/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.4200,12
002403,01,08/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.6400,12
002403,01,08/22/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.6700,12
002403,01,08/23/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.8700,12
002403,01,08/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,58.1700,12
002403,01,08/25/2017,BMY,BRISTOL-MYERS SQUIBB CO,58.3700,12
002403,01,08/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,58.5800,12
002403,01,08/29/2017,BMY,BRISTOL-MYERS SQUIBB CO,58.8600,12
002403,01,08/30/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.3800,12
002403,01,08/31/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.4800,12
002403,01,09/01/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.9000,12
002403,01,09/05/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.8100,12
002403,01,09/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.8700,12
002403,01,09/07/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.8400,12
002403,01,09/08/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.6200,12
002403,01,09/11/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.7200,12
002403,01,09/12/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.0200,12
002403,01,09/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.4800,12
002403,01,09/14/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.6900,12
002403,01,09/15/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.4800,12
